Begin date,Begin time,End time,Activity,Course code,Room
2023-08-14,08:00,13:00,Re-exam,SF1922,W42-43
2023-08-23,08:00,13:00,Re-exam,SG1112,"Q24,Q31,Q33-34"
2023-08-28,13:00,15:00,Lecture,SF1673,F2
2023-08-28,15:00,17:00,Lecture,DD1301,"D1-2,Digital"
2023-08-29,10:00,12:00,Exercise,DD1301,"Digital,U21,U21 Break-out,U31,U31 Break-out"
2023-08-29,13:00,15:00,Exercise,SF1673,"Q21,Q31,Q33"
2023-08-29,15:00,17:00,Lecture,SF1673,M1
2023-08-30,10:00,12:00,Exercise,SF1673,"Q21,Q31,Q33"
2023-08-30,13:00,15:00,Computer lab,DD1301,"Orange,Gul,Grön,Brun"
2023-08-30,15:00,17:00,Lecture,SI1121-1122,FR4 
2023-08-31,10:00,12:00,Lecture,SF1673,D1
2023-08-31,13:00,15:00,Lecture,SI1121-1122,FR4 
2023-08-31,15:00,17:00,Exercise,DD1301,"Digital,U21,U21 Break-out,U31,U31 Break-out"
2023-09-01,08:00,10:00,Exercise,SF1673,"Q21,Q31,Q33"
2023-09-01,10:00,12:00,Lecture,SI1121-1122,FR4 
2023-09-01,13:00,15:00,Computer lab,DD1301,"Orange,Gul,Grön,Brun"
2023-09-01,15:00,17:00,Exercise,SI1121-1122,FB52-54
2023-09-04,08:00,10:00,Lecture,SI1121-1122,FR4 
2023-09-04,10:00,12:00,Lecture,DD1331,K1
2023-09-04,13:00,15:00,Exercise,DD1301,"Digital,U21,U21 Break-out,U31,U31 Break-out"
2023-09-04,15:00,17:00,Lecture,SF1673,F2
2023-09-04,15:00,16:00,www.kth.se/form/libraryfair4sep,,
2023-09-05,10:00,12:00,Exercise,DD1331,"U21,U31"
2023-09-05,13:00,15:00,Exercise,SF1673,V32-34
2023-09-05,15:00,17:00,Lecture,SI1121-1122,FR4 
2023-09-06,08:00,10:00,Lecture,SF1673,E1
2023-09-06,10:00,12:00,Computer lab,DD1331,"Grå,Karmosin,Magenta"
2023-09-06,13:00,15:00,Exercise,SF1673,V32-34
2023-09-06,15:00,17:00,Computer lab,DD1331,"Karmosin,Vit,Magenta"
2023-09-06,16:00,17:00,www.kth.se/form/libraryfair6sep,,
2023-09-07,08:00,10:00,Lecture,SF1673,E1
2023-09-07,10:00,12:00,Exercise,SF1673,"Q21,Q31,Q33"
2023-09-07,13:00,15:00,Lecture,SI1121-1122,FR4 
2023-09-07,15:00,17:00,Supplemental instruction,"8XCTFYS,8XCTMAT","B21-23,B26"
2023-09-08,08:00,10:00,Exercise,SI1121-1122,"FA32,FB53-54"
2023-09-08,10:00,12:00,Lecture,DD1331,K1
2023-09-08,13:00,15:00,Computer lab,DD1301,"Orange,Gul,Grön,Brun"
2023-09-08,15:00,17:00,Computer lab,DD1331,"Karmosin,Vit,Magenta"
2023-09-11,10:00,12:00,Lecture,DD1331,D2
2023-09-11,13:00,15:00,Exercise,DD1331,"U21,U31"
2023-09-11,15:00,17:00,Lecture,SF1673,F2
2023-09-12,08:00,10:00,Supplemental instruction,"8XCTFYS,8XCTMAT","D32-33,D35,D42"
2023-09-12,10:00,12:00,Lecture,DD1331,K1
2023-09-12,13:00,15:00,Exercise,SF1673,"Q21,Q31,Q33"
2023-09-12,15:00,17:00,Lecture,SI1121-1122,FR4 
2023-09-13,08:00,10:00,Lecture,SF1673,M1
2023-09-13,10:00,12:00,Exercise,SI1121-1122,"FA32,FB53-54"
2023-09-13,13:00,15:00,Lecture,SI1121-1122,FR4 
2023-09-14,08:00,10:00,Computer lab,DD1331,"Karmosin,Vit,Magenta"
2023-09-14,10:00,12:00,Exercise,SF1673,"U21,U31,U41"
2023-09-14,13:00,15:00,Exercise,SI1121-1122,"FA32,FB53-54"
2023-09-14,15:00,17:00,Lecture,8XPLUGGA,F1 
2023-09-15,08:00,10:00,Lecture,SF1673,E1
2023-09-15,10:00,12:00,Exercise,SF1673,"V23,V32-33"
2023-09-15,13:00,15:00,Computer lab,DD1301,"Orange,4V4Gul (Gul),4V5Grö (Grön),4V6 Bru (Brun)"
2023-09-15,15:00,17:00,Computer lab,DD1331,"Karmosin,Vit,Magenta"
2023-09-18,08:00,10:00,Lecture,SF1673,M1
2023-09-18,10:00,12:00,Lecture,SI1121-1122,FR4 
2023-09-18,13:00,15:00,Lecture,DD1331,K1
2023-09-19,08:00,10:00,Supplemental instruction,"8XCTFYS,8XCTMAT","D32-33,D35,D42"
2023-09-19,10:00,12:00,Exercise,DD1331,"U41,U51"
2023-09-19,13:00,15:00,Exercise,SF1673,"Q21,Q31,Q33"
2023-09-19,15:00,17:00,Lecture,SI1121-1122,FR4 
2023-09-20,08:00,10:00,Computer lab,DD1331,"Karmosin,Vit,Magenta"
2023-09-20,10:00,12:00,Computer lab,DD1331,"Karmosin,Vit,Magenta"
2023-09-20,13:00,15:00,Exercise,SI1121-1122,"FA32,FB53-54"
2023-09-20,15:00,17:00,Lecture,SF1673,M1
2023-09-21,08:00,10:00,Exercise,SF1673,"Q21,Q31,Q33"
2023-09-21,10:00,12:00,Lecture,DD1331,K1
2023-09-21,13:00,15:00,Lecture,SI1121-1122,FR4 
2023-09-21,15:00,17:00,Exercise,SI1121-1122,"FA32,FB53-54"
2023-09-22,08:00,10:00,Lecture,SF1673,E1
2023-09-22,10:00,12:00,Exercise,SF1673,"V23,V32-33"
2023-09-25,08:00,10:00,Partial Exam/Quiz,SI1121-1122,"FA31-32,FB51-55"
2023-09-25,13:00,15:00,Lecture,DD1331,K1
2023-09-25,15:00,17:00,Lecture,SF1673,E1
2023-09-26,08:00,10:00,Supplemental instruction,"8XCTFYS,8XCTMAT",B21-24
2023-09-26,10:00,12:00,Computer lab,DD1331,"Karmosin,Vit,Magenta"
2023-09-26,13:00,15:00,Exercise,SF1673,"Q21,Q31,Q33"
2023-09-26,15:00,17:00,Lecture,SI1121-1122,FR4 
2023-09-27,08:00,10:00,Computer lab,DD1331,"Karmosin,Vit,Magenta"
2023-09-27,10:00,12:00,Exercise,DD1331,"U21,U31"
2023-09-27,13:00,15:00,Lecture,SF1673,F1 
2023-09-27,15:00,16:00,Information,8XCTFYS,F2
2023-09-28,08:00,10:00,Computer lab,DD1331,"Karmosin,Vit,Magenta"
2023-09-28,10:00,12:00,Exercise,SF1673,"U21,U31,U41"
2023-09-28,13:00,15:00,Lecture,SI1121-1122,FR4 
2023-09-28,15:00,17:00,Lecture,SF1673,M1
2023-09-29,08:00,10:00,Exercise,SF1673,"Q21,Q31,Q33"
2023-09-29,10:00,12:00,Exercise,SI1121-1122,"FA32,FB53-54"
2023-09-29,13:00,15:00,Lecture,DD1331,K1
2023-09-29,15:00,17:00,Computer lab,DD1331,"Karmosin,Vit,Magenta"
2023-10-02,10:00,12:00,Lecture,DD1331,K1
2023-10-02,13:00,15:00,Exercise,DD1331,"U21,U31"
2023-10-02,15:00,17:00,Lecture,SF1673,E1
2023-10-03,08:00,10:00,Lecture,SI1121-1122,FR4 
2023-10-03,10:00,12:00,Exercise,SF1673,"Q21,Q31,Q33"
2023-10-03,13:00,15:00,Computer lab,DD1331,"Karmosin,Vit,Magenta"
2023-10-03,15:00,17:00,Supplemental instruction,"8XCTFYS,8XCTMAT","B21-22,B25-26"
2023-10-04,08:00,10:00,Exercise,SI1121-1122,"FA32,FB53-54"
2023-10-04,10:00,12:00,Lecture,SF1673,M1
2023-10-04,13:00,15:00,Computer lab,DD1331,"Karmosin,Vit,Magenta"
2023-10-05,10:00,12:00,Exercise,SF1673,"U21,U31,U41"
2023-10-05,13:00,15:00,Lecture,SI1121-1122,FR4 
2023-10-05,15:00,17:00,Exercise,SI1121-1122,"FA32,FB53-54"
2023-10-06,08:00,10:00,Lecture,SF1673,E1
2023-10-06,10:00,12:00,Exercise,SF1673,"Q21,Q31,Q33"
2023-10-09,13:00,15:00,Exercise,DD1331,"U21,U31"
2023-10-09,15:00,17:00,Lecture,SF1673,E1
2023-10-10,08:00,10:00,Supplemental instruction,"8XCTFYS,8XCTMAT",B21-24
2023-10-10,10:00,12:00,Computer lab,DD1331,"Karmosin,Vit,Magenta"
2023-10-10,13:00,15:00,Exercise,SF1673,"Q21,Q31,Q33"
2023-10-10,15:00,17:00,Lecture,SI1121-1122,FR4 
2023-10-11,13:00,15:00,Computer lab,DD1331,"Karmosin,Vit,Magenta"
2023-10-11,15:00,17:00,Lecture,SF1673,D1
2023-10-12,08:00,10:00,Computer lab,DD1331,"Karmosin,Vit,Magenta"
2023-10-12,10:00,12:00,Exercise,SF1673,"U21,U31,U41"
2023-10-12,13:00,15:00,Exercise,SI1121-1122,"FA32,FB53-54"
2023-10-13,08:00,10:00,Lecture,SF1673,E1
2023-10-13,10:00,12:00,Exercise,SF1673,"Q21,Q31,Q33"
2023-10-16,08:00,17:00,Eget arbete,,
2023-10-17,08:00,17:00,Eget arbete,,
2023-10-18,08:00,17:00,Eget arbete,,
2023-10-19,13:00,14:00,Tentadag,,
2023-10-20,08:00,13:00,Written Exam,SF1673,"Q24,Q26,Q31,Q33-34,Q36"
2023-10-20,13:00,14:00,Tentadag,,
2023-10-23,10:00,12:00,Math help session,SI1121-1122,FR4 
2023-10-23,13:00,14:00,Tentadag,,
2023-10-24,13:00,14:00,Tentadag,,
2023-10-24,14:00,16:00,Math help session,SI1121-1122,FR4 
2023-10-25,13:00,14:00,Tentadag,,
2023-10-26,08:00,13:00,Written Exam,SI1121-1122,"FB42,FB51,FB53-55,FD41,FP41,FR4"
2023-10-26,13:00,14:00,Tentadag,,
2023-10-27,13:00,14:00,Tentadag,,
2023-10-30,10:00,12:00,Computer lab,DD1331,"Karmosin,Vit,Magenta"
2023-10-30,13:00,15:00,Computer lab,DD1331,"Karmosin,Vit,Magenta"
2023-10-30,13:00,17:00,Seminar,SI1121,FB53
2023-10-31,08:00,10:00,Partial Exam/Quiz,DD1331,"Q17,Q24,Q33-34,Q36"
2023-10-31,15:00,17:00,Lecture,SF1672,E1
2023-11-01,08:00,12:00,Seminar,SI1121,FB53
2023-11-01,13:00,15:00,Lecture,SF1672,M1
2023-11-01,15:00,17:00,Lecture,SK1104,FR4 
2023-11-02,08:00,10:00,Lecture,SK1104,FR4 
2023-11-02,10:00,12:00,Exercise,SF1672,"U21,U31,U41"
2023-11-02,13:00,17:00,Seminar,SI1121,FB53
2023-11-03,08:00,10:00,Lecture,SF1672,D1
2023-11-03,10:00,12:00,Exercise,SF1672,"W25,W42-43"
2023-11-03,13:00,15:00,Lecture,SK1104,FR4 
2023-11-04,00:00,00:00,Alla helgons dag,,
2023-11-06,10:00,12:00,Lecture,DD1331,K1
2023-11-06,12:00,14:00,"KTH Global, www.kth.se/global",,
2023-11-06,14:00,16:00,Lecture,SF1672,M1
2023-11-06,16:00,18:00,Exercise,SK1104,FB52-54
2023-11-07,08:00,10:00,Lecture,SF1672,M1
2023-11-07,10:00,12:00,Computer lab,DD1331,"Karmosin,Vit,Magenta"
2023-11-07,12:00,13:00,Lecture,8XFESTAS,F1 
2023-11-07,13:00,17:00,Lab,SI1121,"013:011,013:013A"
2023-11-08,08:00,12:00,Lab,SI1121,"013:011,013:013A"
2023-11-08,12:00,14:00,"KTH Global, www.kth.se/global",,
2023-11-08,14:00,16:00,Exercise,SF1672,"U21,U31,U51"
2023-11-08,16:00,18:00,Lecture,SF1672,E1
2023-11-09,08:00,10:00,Lecture,SK1104,FR4 
2023-11-09,10:00,12:00,Computer lab,DD1331,"Karmosin,Vit,Magenta"
2023-11-09,12:00,14:00,"KTH Global, www.kth.se/global",,
2023-11-09,14:00,18:00,Lab,SI1121,"013:011,013:013A"
2023-11-10,08:00,10:00,Exercise,SF1672,"U21,U31,U41"
2023-11-10,10:00,12:00,Lecture,SK1104,FR4 
2023-11-10,13:00,14:00,Partial Exam/Quiz,DD1331,"D1,F1"
2023-11-10,15:00,17:00,Supplemental instruction,"8XCTFYS,8XCTMAT",B21-24
2023-11-13,08:00,12:00,Lab,SI1121,"013:011,013:013A"
2023-11-13,13:00,15:00,Lecture,SF1672,E1
2023-11-13,15:00,17:00,Lecture,DD1331,K1
2023-11-14,08:00,10:00,Exercise,SK1104,FB52-54
2023-11-14,10:00,12:00,Lecture,SF1672,M1
2023-11-14,13:00,15:00,Computer lab,DD1331,"Karmosin,Vit,Magenta"
2023-11-14,15:00,17:00,Exercise,SF1672,E51-53
2023-11-15,08:00,12:00,Lab,SI1121,"013:011,013:013A"
2023-11-15,10:00,12:00,Computer lab,DD1331,"Karmosin,Vit,Magenta"
2023-11-15,13:00,15:00,Computer lab,DD1331,"Karmosin,Vit,Magenta"
2023-11-15,15:00,17:00,Lecture,SK1104,FR4 
2023-11-16,08:00,10:00,Supplemental instruction,"8XCTFYS,8XCTMAT",B21-24
2023-11-16,10:00,12:00,Lecture,SF1672,E1
2023-11-16,13:00,15:00,Computer lab,DD1331,"Karmosin,Vit,Magenta"
2023-11-16,13:00,17:00,Lab,SI1121,"013:011,013:013A"
2023-11-17,08:00,10:00,Lecture,SF1672,M1
2023-11-17,10:00,12:00,Lecture,SK1104,FR4 
2023-11-17,13:00,15:00,Exercise,SF1672,"U21,U31,U41"
2023-11-17,15:00,17:00,Lab,SF1672,"Röd,Orange,Gul,Brun"
2023-11-20,08:00,12:00,Lab,SI1121,"013:011,013:013A"
2023-11-20,13:00,15:00,Lecture,SF1672,M1
2023-11-20,15:00,17:00,Exercise,SK1104,FB52-54
2023-11-21,08:00,10:00,Computer lab,DD1331,"Karmosin,Vit,Magenta"
2023-11-21,10:00,12:00,Lecture,SF1672,M1
2023-11-21,10:00,16:00,THS Armada – event.armada.nu,,
2023-11-21,13:00,15:00,Supplemental instruction,"8XCTFYS,8XCTMAT","M23-24,M31-32"
2023-11-21,15:00,17:00,Lecture,SK1104,FR4 
2023-11-22,08:00,12:00,Lab,SI1121,"013:011,013:013A"
2023-11-22,10:00,12:00,Computer lab,DD1331,"Karmosin,Vit,Magenta"
2023-11-22,10:00,16:00,THS Armada – event.armada.nu,,
2023-11-22,13:00,15:00,Exercise,SF1672,"U31,U41,V32"
2023-11-22,15:00,17:00,Lecture,SF1672,D1
2023-11-23,08:00,10:00,Lecture,SK1104,FR4 
2023-11-23,10:00,12:00,Lecture,SF1672,M1
2023-11-23,13:00,15:00,Computer lab,DD1331,"Karmosin,Vit,Magenta"
2023-11-23,13:00,17:00,Lab,SI1121,"013:011,013:013A"
2023-11-24,08:00,10:00,Exercise,SF1672,"U21,U31,U41"
2023-11-24,10:00,12:00,Lab,SF1672,"Grå,Karmosin,Vit,Magenta"
2023-11-24,13:00,15:00,Lab,SF1672,"Grå,Karmosin,Vit,Magenta"
2023-11-24,13:00,17:00,Lab,SI1121,"013:011,013:013A"
2023-11-27,08:00,12:00,Lab,SI1121,"013:011,013:013A"
2023-11-27,13:00,15:00,Lecture,SF1672,E1
2023-11-27,15:00,17:00,Computer lab,DD1331,"Karmosin,Vit,Magenta"
2023-11-28,08:00,10:00,Computer lab,DD1331,"Karmosin,Vit,Magenta"
2023-11-28,10:00,12:00,Lecture,SF1672,E1
2023-11-28,13:00,15:00,Computer lab,DD1331,"Karmosin,Vit,Magenta"
2023-11-28,13:00,17:00,Lab,SI1121,"013:011,013:013A"
2023-11-29,08:00,10:00,Exercise,SK1104,FB52-54
2023-11-29,13:00,15:00,Exercise,SF1672,"U21,U31,U41"
2023-11-29,15:00,17:00,Lecture,SF1672,E1
2023-11-30,08:00,10:00,Lecture,SK1104,FR4 
2023-11-30,10:00,12:00,Lecture,SF1672,E1
2023-11-30,13:00,15:00,Supplemental instruction,"8XCTFYS,8XCTMAT","M23-24,M31-32"
2023-11-30,15:00,17:00,Computer lab,DD1331,"Karmosin,Vit,Magenta"
2023-12-01,08:00,10:00,Exercise,SF1672,"U21,U31,U41"
2023-12-01,10:00,12:00,Lecture,SK1104,FR4 
2023-12-01,13:00,15:00,Computer lab,DD1331,"Karmosin,Vit,Magenta"
2023-12-01,15:00,17:00,Lab,SF1672,"Grå,Karmosin,Vit,Magenta"
2023-12-04,08:00,10:00,Lab,SF1672,"Grå,Karmosin,Vit,Magenta"
2023-12-04,10:00,12:00,Lecture,SF1672,D1
2023-12-04,12:00,17:00,"Storträff -undvik frl, le, ex",,
2023-12-04,13:00,15:00,Computer lab,DD1331,"Karmosin,Vit,Magenta"
2023-12-05,08:00,10:00,Exercise,SK1104,FB52-54
2023-12-05,10:00,12:00,Lecture,SF1672,M1
2023-12-05,13:00,15:00,Computer lab,DD1331,"Karmosin,Vit,Magenta"
2023-12-06,08:00,10:00,Computer lab,DD1331,"Karmosin,Vit,Magenta"
2023-12-06,10:00,12:00,Supplemental instruction,"8XCTFYS,8XCTMAT",B23-26
2023-12-06,13:00,15:00,Exercise,SF1672,E51-53
2023-12-06,15:00,17:00,Lecture,SF1672,D1
2023-12-07,08:00,10:00,Lecture,SK1104,FR4 
2023-12-07,13:00,15:00,Partial Exam/Quiz,DD1331,"Q21-22,Q26"
2023-12-08,10:00,12:00,Lecture,SK1104,FR4 
2023-12-08,13:00,15:00,Computer lab,DD1331,"Karmosin,Vit,Magenta"
2023-12-08,15:00,17:00,Exercise,SF1672,"U21,U31,U41"
2023-12-11,08:00,10:00,Computer lab,DD1331,"Karmosin,Vit,Magenta"
2023-12-11,10:00,12:00,Lecture,SF1672,E1
2023-12-11,13:00,15:00,Exercise,SK1104,FB52-54
2023-12-12,08:00,10:00,Computer lab,DD1331,"Karmosin,Vit,Magenta"
2023-12-12,10:00,12:00,Lecture,SF1672,D1
2023-12-12,13:00,15:00,Computer lab,DD1331,"Karmosin,Vit,Magenta"
2023-12-12,15:00,17:00,Exercise,SF1672,"U31,U41,U51"
2023-12-13,08:00,10:00,Lecture,SF1672,D1
2023-12-13,10:00,12:00,Supplemental instruction,"8XCTFYS,8XCTMAT",B23-26
2023-12-13,13:00,15:00,Exercise,SF1672,"U31,U41,U51"
2023-12-13,15:00,17:00,Computer lab,DD1331,"Karmosin,Vit,Magenta"
2023-12-14,10:00,11:00,Partial Exam/Quiz,DD1331,D1
