Begin date,Begin time,End time,Activity,Course code,Room
2023-12-14,15:00,17:00,Exercise,SF1672,"U21,U31,U41"
2023-12-15,08:00,10:00,Exercise,SF1672,"U21,U31,U41"
2023-12-18,13:00,14:00,Omtentadag,,
2023-12-18,14:00,19:00,Re-exam,SI1121-1122,FB53-54
2023-12-19,13:00,14:00,Omtentadag,,
2023-12-20,13:00,14:00,Omtentadag,,
2023-12-21,08:00,13:00,Re-exam,SF1673,"Q24,Q31,Q33"
2023-12-21,13:00,14:00,Omtentadag,,
2023-12-22,08:00,17:00,Eget arbete,,
2023-12-24,00:00,00:00,Julafton,,
2023-12-25,00:00,00:00,Juldagen,,
2023-12-26,00:00,00:00,Annandag jul,,
2023-12-27,08:00,17:00,Eget arbete,,
2023-12-28,08:00,17:00,Eget arbete,,
2023-12-29,08:00,17:00,Eget arbete,,
2023-12-31,00:00,00:00,Nyårsafton,,
2024-01-01,00:00,00:00,Nyårsdagen,,
2024-01-02,08:00,17:00,Eget arbete,,
2024-01-03,08:00,17:00,Eget arbete,,
2024-01-04,08:00,17:00,Eget arbete,,
2024-01-05,08:00,17:00,Eget arbete,,
2024-01-06,00:00,00:00,Trettondedag jul,,
2024-01-08,13:00,14:00,Tentadag,,
2024-01-09,13:00,14:00,Tentadag,,
2024-01-10,13:00,14:00,Tentadag,,
2024-01-11,13:00,14:00,Tentadag,,
2024-01-12,08:00,11:00,Written Exam,SF1672,"Q15,Q17,Q21-22,Q24,Q33-34,Q36"
2024-01-12,13:00,14:00,Tentadag,,
2024-01-12,13:00,14:00,Tentadag,,
2024-01-13,08:00,09:00,Tentadag,,
2024-01-13,14:00,19:00,Tentadag,,
2024-01-15,13:00,14:00,Tentadag,,
2024-01-15,14:00,17:00,Written Exam,SK1104,"FA32,FB51-55"
