Name|Coordinates|Type|Info
V22|https://www.google.com/maps/place/59.35110174493043,18.071114815207327|Training|4
V23|https://www.google.com/maps/place/59.35110174493043,18.071114815207327|Training|4
V32|https://www.google.com/maps/place/59.35110174493043,18.071114815207327|Training|5
V33|https://www.google.com/maps/place/59.35110174493043,18.071114815207327|Training|5
V34|https://www.google.com/maps/place/59.35110174493043,18.071114815207327|Training|5
V35|https://www.google.com/maps/place/59.35110174493043,18.071114815207327|Training|5
W|https://www.google.com/maps/place/59.350841141120135,18.070559793099424|Building|None
W25|https://www.google.com/maps/place/59.350841141120135,18.070559793099424|Training|2
W37|https://www.google.com/maps/place/59.350841141120135,18.070559793099424|Training|3
W38|https://www.google.com/maps/place/59.350841141120135,18.070559793099424|Training|3
W42|https://www.google.com/maps/place/59.350841141120135,18.070559793099424|Training|4
W43|https://www.google.com/maps/place/59.350841141120135,18.070559793099424|Training|4
K|https://www.google.com/maps/place/59.349614994822716,18.074470218046066|Building|None
K1|https://www.google.com/maps/place/59.350177053406284,18.074668106453814|Lecture|3
K2|https://www.google.com/maps/place/59.349614994822716,18.074470218046066|Lecture|5
K51|https://www.google.com/maps/place/59.349614994822716,18.074470218046066|Training|5
FA31|https://www.google.com/maps/place/59.35393306147455,18.057654294803914|Training|3
FA32|https://www.google.com/maps/place/59.35393306147455,18.057654294803914|Training|3
FR4|https://www.google.com/maps/place/59.35393306147455,18.057654294803914|Lecture|"3,4"
FB41|https://www.google.com/maps/place/59.35393306147455,18.057654294803914|Training|4
FB42|https://www.google.com/maps/place/59.35393306147455,18.057654294803914|Training|4
FB43|https://www.google.com/maps/place/59.35393306147455,18.057654294803914|Training|4
FB44|https://www.google.com/maps/place/59.35393306147455,18.057654294803914|Training|4
FB45|https://www.google.com/maps/place/59.35393306147455,18.057654294803914|Training|4
FD41|https://www.google.com/maps/place/59.35393306147455,18.057654294803914|Training|4
FD42|https://www.google.com/maps/place/59.35393306147455,18.057654294803914|Training|4
FD43|https://www.google.com/maps/place/59.35393306147455,18.057654294803914|Training|4
FD44|https://www.google.com/maps/place/59.35393306147455,18.057654294803914|Training|4
FB51|https://www.google.com/maps/place/59.35393306147455,18.057654294803914|Training|5
FB52|https://www.google.com/maps/place/59.35393306147455,18.057654294803914|Training|5
FB53|https://www.google.com/maps/place/59.35393306147455,18.057654294803914|Training|5
FB54|https://www.google.com/maps/place/59.35393306147455,18.057654294803914|Training|5
FB55|https://www.google.com/maps/place/59.35393306147455,18.057654294803914|Training|5
FD51|https://www.google.com/maps/place/59.35393306147455,18.057654294803914|Training|5
FD52|https://www.google.com/maps/place/59.35393306147455,18.057654294803914|Training|5
FD53|https://www.google.com/maps/place/59.35393306147455,18.057654294803914|Training|5
FD54|https://www.google.com/maps/place/59.35393306147455,18.057654294803914|Training|5
FD55|https://www.google.com/maps/place/59.35393306147455,18.057654294803914|Training|5
FD5|https://www.google.com/maps/place/59.35393306147455,18.057654294803914|Lecture|5
