Startdatum,Starttid,Sluttid,Aktivitet,Tillfälleskod/kurskod,Lokal
2023-08-17,08:00,13:00,Omtenta,"SI1151, SI1155","[FB51,(https://www.google.com/maps/place/59.35393306147455,18.057654294803914),5],[FB52,(https://www.google.com/maps/place/59.35393306147455,18.057654294803914),5],[FB53,(https://www.google.com/maps/place/59.35393306147455,18.057654294803914),5]"
2023-08-25,08:00,13:00,Omtenta,SE1055,"[V21,(https://www.google.com/maps/place/59.35110174493043,18.071114815207327),4],[V22,(https://www.google.com/maps/place/59.35110174493043,18.071114815207327),4],[V32,(https://www.google.com/maps/place/59.35110174493043,18.071114815207327),5]"
2023-08-28,08:00,10:00,Föreläsning,SI1146,"[FR4,(https://www.google.com/maps/place/59.35393306147455,18.057654294803914),3]"
2023-08-28,10:00,12:00,Övning,SI1146,"[FB52,(https://www.google.com/maps/place/59.35393306147455,18.057654294803914),5],[FB53,(https://www.google.com/maps/place/59.35393306147455,18.057654294803914),5],[FB54,(https://www.google.com/maps/place/59.35393306147455,18.057654294803914),5]"
2023-08-28,13:00,15:00,Föreläsning,SG1113,"[M2,(https://www.google.com/maps/place/59.35338034344207,18.065376926562575),2]"
2023-08-28,15:00,16:00,Information,8XCTFYS,"[M2,(https://www.google.com/maps/place/59.35338034344207,18.065376926562575),2]"
2023-08-29,13:00,15:00,Föreläsning,SG1113,"[M2,(https://www.google.com/maps/place/59.35338034344207,18.065376926562575),2]"
2023-08-29,15:00,17:00,Föreläsning,SF1683,"[M2,(https://www.google.com/maps/place/59.35338034344207,18.065376926562575),2]"
2023-08-31,08:00,10:00,Föreläsning,SF1683,"[B2,(https://www.google.com/maps/place/59.35151479446071,18.068663853571927),2]"
2023-08-31,10:00,12:00,Övning,SG1113,"[V22,(https://www.google.com/maps/place/59.35110174493043,18.071114815207327),4],[V32,(https://www.google.com/maps/place/59.35110174493043,18.071114815207327),5],[V34,(https://www.google.com/maps/place/59.35110174493043,18.071114815207327),5]"
2023-09-01,08:00,10:00,Föreläsning,SG1113,"[M1,(https://www.google.com/maps/place/59.35338034344207,18.065376926562575),2]"
2023-09-01,10:00,12:00,Övning,SF1683,"[V11,(https://www.google.com/maps/place/59.35110174493043,18.071114815207327),3],[V21,(https://www.google.com/maps/place/59.35110174493043,18.071114815207327),4],[V22,(https://www.google.com/maps/place/59.35110174493043,18.071114815207327),4]"
2023-09-01,13:00,15:00,Föreläsning,SI1146,"[FR4,(https://www.google.com/maps/place/59.35393306147455,18.057654294803914),3]"
2023-09-04,13:00,15:00,Övning,SI1146,"[FB52,(https://www.google.com/maps/place/59.35393306147455,18.057654294803914),5],[FB53,(https://www.google.com/maps/place/59.35393306147455,18.057654294803914),5],[FB54,(https://www.google.com/maps/place/59.35393306147455,18.057654294803914),5]"
2023-09-04,15:00,17:00,Föreläsning,SG1113,"[M1,(https://www.google.com/maps/place/59.35338034344207,18.065376926562575),2]"
