Startdatum,Starttid,Sluttid,Aktivitet,Tillfälleskod/kurskod,Lokal
2023-09-05,08:00,10:00,Föreläsning,SF2940,"[F1,(https://www.google.com/maps/place/59.348382721980045,18.074164283936792),2]"
2023-09-05,08:00,12:00,Laboration,EL1000,A:225
2023-09-05,10:00,12:00,Övning,EL1000,"[Q11,(https://www.google.com/maps/place/59.35024453850851,18.06714300371682),1],[Q13,(https://www.google.com/maps/place/59.35024453850851,18.06714300371682),1]"
2023-09-05,13:00,15:00,Övning,EL1000,"XQ23,XQ32"
2023-09-05,15:00,17:00,Övning,EL1000,"[Q15,(https://www.google.com/maps/place/59.35024453850851,18.06714300371682),1],[Q17,(https://www.google.com/maps/place/59.35024453850851,18.06714300371682),1],[Q22,(https://www.google.com/maps/place/59.35024453850851,18.06714300371682),2]"
2023-09-05,17:00,19:00,Föreläsning,MH1023,"[D35,(https://www.google.com/maps/place/59.346842984153625,18.073876046419205),3]"
2023-09-06,08:00,10:00,Övning,EL1000,"[E31,(https://www.google.com/maps/place/59.34704027500101,18.072885775270187),3],[E33,(https://www.google.com/maps/place/59.34704027500101,18.072885775270187),3]"
2023-09-06,10:00,12:00,Övning,EL1000,"XQ25,XQ32"
2023-09-06,13:00,17:00,Laboration,EL1000,A:225
2023-09-06,13:00,15:00,Övning,EL1000,"[B21,(https://www.google.com/maps/place/59.35151479446071,18.068663853571927),3],[B22,(https://www.google.com/maps/place/59.35151479446071,18.068663853571927),3],[B23,(https://www.google.com/maps/place/59.35151479446071,18.068663853571927),3]"
2023-09-06,15:00,17:00,Räknestuga,EL1000,"[Q36,(https://www.google.com/maps/place/59.35024453850851,18.06714300371682),3]"
2023-09-06,16:00,17:00,www.kth.se/form/libraryfair6sep,,
2023-09-07,08:00,10:00,Föreläsning,EL1000,"[D1,(https://www.google.com/maps/place/59.346842984153625,18.073876046419205),6]"
2023-09-07,13:00,15:00,Föreläsning,SH1015,"[FD5,(https://www.google.com/maps/place/59.35393306147455,18.057654294803914),5]"
2023-09-07,13:00,17:00,Laboration,EL1000,A:225
2023-09-07,15:00,17:00,Föreläsning,EI1320,H1
2023-09-07,15:00,17:00,Övning,SF2940,"[E31,(https://www.google.com/maps/place/59.34704027500101,18.072885775270187),3],[E33,(https://www.google.com/maps/place/59.34704027500101,18.072885775270187),3],[E34,(https://www.google.com/maps/place/59.34704027500101,18.072885775270187),3],[E51,(https://www.google.com/maps/place/59.34704027500101,18.072885775270187),5],[E52,(https://www.google.com/maps/place/59.34704027500101,18.072885775270187),5],[E53,(https://www.google.com/maps/place/59.34704027500101,18.072885775270187),5]"
2023-09-08,08:00,12:00,Laboration,EL1000,A:225
2023-09-08,08:00,10:00,Räknestuga,EL1000,"[Q36,(https://www.google.com/maps/place/59.35024453850851,18.06714300371682),3]"
2023-09-08,08:00,10:00,Övning,SF2940,"[E35,(https://www.google.com/maps/place/59.34704027500101,18.072885775270187),3],[E36,(https://www.google.com/maps/place/59.34704027500101,18.072885775270187),3],[E51,(https://www.google.com/maps/place/59.34704027500101,18.072885775270187),5],[E52,(https://www.google.com/maps/place/59.34704027500101,18.072885775270187),5],[E53,(https://www.google.com/maps/place/59.34704027500101,18.072885775270187),5],[U61,(https://www.google.com/maps/place/59.35100405505016,18.07004819394063),6]"
2023-09-08,10:00,12:00,Föreläsning,SF2940,"[F1,(https://www.google.com/maps/place/59.348382721980045,18.074164283936792),2]"
2023-09-08,10:00,12:00,Övning,EI1320,"[Q13,(https://www.google.com/maps/place/59.35024453850851,18.06714300371682),1],[Q36,(https://www.google.com/maps/place/59.35024453850851,18.06714300371682),3]"
2023-09-08,13:00,15:00,Föreläsning,SH1015,"[FD5,(https://www.google.com/maps/place/59.35393306147455,18.057654294803914),5]"
2023-09-08,15:00,17:00,Föreläsning,EL1000,"[E1,(https://www.google.com/maps/place/59.34704027500101,18.072885775270187),3]"
